,name,ticker,equityType,sicSector,sicIndustry,ticker_classification
144256,ROUSE PROPERTIES INC,RSE,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate,mid
144270,ROYAL BANCSHARES OF PENNSYLVANIA INC,RBPAA,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,mid
144342,NATWEST GROUP PLC,NWG,ADR Common Stock Primary Class,Finance Insurance And Real Estate,Commercial Banks Nec,mid
144461,KONINKLIJKE KPN N V,KKPNY,ADR Common Stock,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),mid
144462,ROYALE ENERGY INC,ROYL,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,small
144471,BATTLE NORTH GOLD CORP,BNAUF,Canadian Common Stock,Mining,Metal Mining,mid
144474,RUBICON TECHNOLOGY INC,RBCN,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
144501,RUBY TUESDAY INC,RT,Domestic Common Stock,Retail Trade,Retail-Eating  Places,mid
144579,RUDOLPH TECHNOLOGIES INC,RTEC,Domestic Common Stock,Manufacturing,Industrial Instruments For Measurement Display And Control,mid
144643,RUE21 INC,RUE,Domestic Common Stock,Retail Trade,Retail-Apparel & Accessory Stores,mid
144656,RURAL METRO CORP,RURL,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Local & Suburban Transit & Interurban Hwy Passenger Trans,mid
144710,RURAL CELLULAR CORP,RCCC,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Radiotelephone Communications,mid
144719,RUSSELL CORP,RML,Domestic Common Stock,Manufacturing,Knit Outerwear Mills,mid
144741,RUTHS HOSPITALITY GROUP INC,RUTH,Domestic Common Stock,Retail Trade,Retail-Eating  Places,mid
144788,RYANAIR HOLDINGS PLC,RYAAY,ADR Common Stock,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,mid
144831,RYANS RESTAURANT GROUP INC,RYAN1,Domestic Common Stock,Retail Trade,Retail-Eating  Places,mid
144843,RYDER SYSTEM INC,R,Domestic Common Stock,Services,Services-Auto Rental & Leasing (No Drivers),large
144914,RYERSON HOLDING CORP,RYI,Domestic Common Stock,Wholesale Trade,Wholesale-Metals Service Centers & Offices,mid
144924,RYLAND GROUP INC,RYL,Domestic Common Stock,Construction,Operative Builders,mid
145002,S&T BANCORP INC,STBA,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,mid
145066,SBS TECHNOLOGIES INC,SBSE,Domestic Common Stock,Manufacturing,Electronic Computers,mid
145081,SCI SYSTEMS INC,SCI1,Domestic Common Stock,Manufacturing,Electronic Components & Accessories,mid
145089,SCPIE HOLDINGS INC,SKP,Domestic Common Stock,Finance Insurance And Real Estate,Insurance Carriers Nec,mid
145099,SCOLR PHARMA INC,SCLR,Domestic Common Stock,Manufacturing,In Vitro & In Vivo Diagnostic Substances,small
145100,SDL INC,SDLI,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
145181,PHARMANET DEVELOPMENT GROUP INC,PDGI,Domestic Common Stock,Services,Services-Commercial Physical & Biological Research,mid
145195,SEMCO ENERGY INC,SEN,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Distribution,mid
145208,SEACOR MARINE HOLDINGS INC,SMHI,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Deep Sea Foreign Transportation Of Freight,small
145210,SFX ENTERTAINMENT INC,SFX.A,Domestic Common Stock,Services,Services-Amusement & Recreation Services,mid
145223,SHFL ENTERTAINMENT INC,SHFL,Domestic Common Stock,Manufacturing,Miscellaneous Manufacturing Industries,small
145227,SI FINANCIAL GROUP INC,SIFI1,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institution Federally Chartered,mid
145236,SJNB FINANCIAL CORP,SJNB,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,small
145237,SI INTERNATIONAL INC,SINT1,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,mid
145255,SJW GROUP,SJW,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Water Supply,mid
145311,SK TELECOM CO LTD,SKM,ADR Common Stock,Transportation Communications Electric Gas And Sanitary Service,Radiotelephone Communications,mid
145329,SL GREEN REALTY CORP,SLG,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
145397,SL INDUSTRIES INC,SLI1,Domestic Common Stock,Manufacturing,Electronic Components Nec,mid
145398,SLM CORP,SLM,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Personal Credit Institutions,large
145458,SLI INC,SLIXQ,Domestic Common Stock,Manufacturing,Electric Lighting & Wiring Equipment,mid
145462,SMF ENERGY CORP,FUELQ,Domestic Common Stock,Wholesale Trade,Wholesale-Petroleum & Petroleum Products (No Bulk Stations),small
145492,SORL AUTO PARTS INC,SORL,Domestic Common Stock,Manufacturing,Motor Vehicle Parts & Accessories,small
145495,SPS TECHNOLOGIES INC,ST1,Domestic Common Stock,Manufacturing,Bolts Nuts Screws Rivets & Washers,mid
145504,SPSS INC,SPSS,Domestic Common Stock,Services,Services-Prepackaged Software,mid
145608,S1 CORP,SONE,Domestic Common Stock,Services,Services-Computer Programming Data Processing Etc.,mid
145663,SRS LABS INC,SRSL,Domestic Common Stock,Finance Insurance And Real Estate,Patent Owners & Lessors,mid
145670,SRA INTERNATIONAL INC,SRX,Domestic Common Stock,Services,Services-Computer Programming Data Processing Etc.,mid
145705,SRI SURGICAL EXPRESS INC,STRC1,Domestic Common Stock,Services,Services-Personal Services,small
145708,SM&A,WINS1,Domestic Common Stock,Services,Services-Management Consulting Services,mid
145713,SSA GLOBAL TECHNOLOGIES INC,SSAG,Domestic Common Stock,Services,Services-Computer Programming Services,small
145739,SP BANCORP INC,SPBC2,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institution Federally Chartered,small
145740,SP PLUS CORP,SP,Domestic Common Stock,Services,Services-Auto Rental & Leasing (No Drivers),mid
145754,SPX FLOW INC,FLOW2,Domestic Common Stock,Manufacturing,Metalworkg Machinery & Equipment,mid
145763,SRC ENERGY INC,SRCI,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,small
145766,STEC INC,STEC1,Domestic Common Stock,Manufacturing,Computer Storage Devices,mid
145788,STR HOLDINGS INC,STRI,Domestic Common Stock,Manufacturing,Unsupported Plastics Film & Sheet,mid
145850,SABA SOFTWARE INC,SABA,Domestic Common Stock,Services,Services-Prepackaged Software,mid
145862,SWS GROUP INC,SWS,Domestic Common Stock,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,mid
145913,S&W SEED CO,SANW,Domestic Common Stock Primary Class,Agriculture Forestry And Fishing,Agricultural Production-Crops,small
145952,SABRE HOLDINGS CORP,TSG1,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Transportation Services,mid
145979,SAFECO CORP,SAF2,Domestic Common Stock,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,mid
146014,SAFEGUARD SCIENTIFICS INC,SFE,Domestic Common Stock,Finance Insurance And Real Estate,Investors Nec,mid
146069,SAFENET INC,SFNT,Domestic Common Stock,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,mid
146087,SAFETY 1ST INC,SAFT1,Domestic Common Stock,Manufacturing,Plastics Products Nec,small
146088,SAFETY INSURANCE GROUP INC,SAFT,Domestic Common Stock,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,mid
146145,SAFEWAY INC,SWY,Domestic Common Stock,Retail Trade,Retail-Grocery Stores,large
146205,IDENTIPHI INC,IDPIQ,Domestic Common Stock,Services,Services-Computer Programming Data Processing Etc.,small
146209,SAGA COMMUNICATIONS INC,SGA,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Radio Broadcasting Stations,mid
146246,SAGE INC,SAGI,Domestic Common Stock,Manufacturing,Electronic Components Nec,small
146259,SAGENT PHARMACEUTICALS INC,SGNT,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
146275,SAGENT TECHNOLOGY INC,SGNT1,Domestic Common Stock,Services,Services-Prepackaged Software,small
146314,ST FRANCIS CAPITAL CORP,STFR,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institution Federally Chartered,small
146322,ST JOE CO,JOE,Domestic Common Stock,Finance Insurance And Real Estate,Land Subdividers & Developers (No Cemeteries),mid
146450,ST PAUL BANCORP INC,SPBC1,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institution Federally Chartered,small
146452,SAKS INC,SKS,Domestic Common Stock,Retail Trade,Retail-Department Stores,mid
146506,SALARYCOM INC,SLRY,Domestic Common Stock,Services,Services-Prepackaged Software,small
146510,SALEM MEDIA GROUP INC,SALM,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Radio Broadcasting Stations,mid
146654,SALLY BEAUTY HOLDINGS INC,SBH,Domestic Common Stock,Retail Trade,Retail-Retail Stores Nec,mid
146684,SALTON INC,SFPI1,Domestic Common Stock,Manufacturing,Electric Housewares & Fans,mid
146691,SAMSON OIL & GAS LTD,SSNYQ,Domestic Common Stock,Mining,Drilling Oil & Gas Wells,small
146698,SANCHEZ COMPUTER ASSOCIATES INC,SCAI1,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,mid
146709,SANCHEZ ENERGY CORP,SNECQ,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,mid
146730,SANDERSON FARMS INC,SAFM,Domestic Common Stock,Manufacturing,Poultry Slaughtering And Processing,mid
146853,SANDRIDGE ENERGY INC,SD,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,mid
146886,SANDSTORM GOLD LTD,SAND,Canadian Common Stock,Mining,Gold And Silver Ores,mid
146898,SANDY SPRING BANCORP INC,SASR,Domestic Common Stock,Finance Insurance And Real Estate,National Commercial Banks,mid
146952,SANFILIPPO JOHN B & SON INC,JBSS,Domestic Common Stock,Manufacturing,Sugar & Confectionery Products,mid
146983,SANGAMO THERAPEUTICS INC,SGMO,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
147029,SANGSTAT MEDICAL CORP,SANG1,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
147037,SANMINA CORP,SANM,Domestic Common Stock,Manufacturing,Printed Circuit Boards,mid
147089,SANTANDER BANCORP,SBP,Domestic Common Stock,Finance Insurance And Real Estate,National Commercial Banks,mid
147146,SANTANDER CONSUMER USA HOLDINGS INC,SC,Domestic Common Stock,Finance Insurance And Real Estate,Personal Credit Institutions,mid
147235,SAPPI LTD,SPPJY,ADR Common Stock,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),mid
147240,SARATOGA RESOURCES INC,SARAQ,Domestic Common Stock,Mining,Oil & Gas Field Exploration Services,small
147264,SASOL LTD,SSL,ADR Common Stock,Mining,Crude Petroleum & Natural Gas,mid
147290,SATCON TECHNOLOGY CORP,SATCQ,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
147304,SATYAM COMPUTER SERVICES LTD,SAYPY,ADR Common Stock,Services,Services-Computer Programming Services,mid
147315,SAUER DANFOSS INC,SHS,Domestic Common Stock,Manufacturing,Misc Industrial & Commercial Machinery & Equipment,mid
147355,SAUL CENTERS INC,BFS,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
147413,SAVILLE SYSTEMS PLC,SAVLY,Domestic Common Stock,Services,Services-Computer Programming Services,small
147415,SAVIENT PHARMACEUTICALS INC,SVNTQ,Domestic Common Stock,Manufacturing,Medicinal Chemicals & Botanical Products,mid
147446,SAVVIS INC,SVVS,Domestic Common Stock,Services,Services-Business Services Nec,mid
147466,SAWTEK INC,SAWS,Domestic Common Stock,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,mid
147470,SAXON CAPITAL INC,SAX1,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,small
147478,SCANA CORP,SCG,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,large
147547,SCANSOURCE INC,SCSC,Domestic Common Stock,Wholesale Trade,Wholesale-Computers & Peripheral Equipment & Software,mid
147611,SCHAWK INC,SGK,Domestic Common Stock,Manufacturing,Service Industries For The Printing Trade,mid
147652,HENRY SCHEIN INC,HSIC,Domestic Common Stock,Wholesale Trade,Wholesale-Medical Dental & Hospital Equipment & Supplies,large
147717,SCHERING PLOUGH CORP,SGP,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,large
147756,SCHIFF NUTRITION INTERNATIONAL INC,SHF,Domestic Common Stock,Wholesale Trade,Wholesale-Groceries & Related Products,mid
147840,RADIUS RECYCLING,RDUS,Domestic Common Stock,Wholesale Trade,Wholesale-Misc Durable Goods,mid
147896,SCHNEIDER NATIONAL INC,SNDR,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Trucking (No Local),small
147898,SCHOLASTIC CORP,SCHL,Domestic Common Stock,Manufacturing,Books: Publishing Or Publishing & Printing,mid
147966,SCHOOL SPECIALTY INC,SCHSQ,Domestic Common Stock,Wholesale Trade,Wholesale-Durable Goods,mid
148010,SCHULER RESIDENTIAL INC,SHLR,Domestic Common Stock,Construction,Operative Builders,small
148012,SCHULMAN A INC,SHLM,Domestic Common Stock,Manufacturing,Plastic Materials Synth Resins & Nonvulcan Elastomers,mid
148154,MATIV HOLDINGS INC,MATV,Domestic Common Stock,Manufacturing,Paper Mills,mid
148217,SCIENCE APPLICATIONS INTERNATIONAL CORP,SAIC,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,mid
148233,SCIELE PHARMA INC,SCRX,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
148241,SCICLONE PHARMACEUTICALS INC,SCLN,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
148277,SCIENT CORP,SCNT,Domestic Common Stock,Services,Services-Computer Programming Data Processing Etc.,small
148280,SCIENTIFIC ATLANTA INC,SFA,Domestic Common Stock,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,mid
148307,LIGHT & WONDER INC,LNW,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,mid
148369,SCIOS INC,SCIO1,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
148375,SCIQUEST INC,SQST,Domestic Common Stock,Services,Services-Prepackaged Software,small
148376,SCIQUEST INC,SQI,Domestic Common Stock,Services,Services-Prepackaged Software,mid
148390,SCOTTS MIRACLE-GRO CO,SMG,Domestic Common Stock,Manufacturing,Agricultural Chemicals,mid
148452,EW SCRIPPS CO,SSP,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Television Broadcasting Stations,mid
148553,SEABOARD CORP,SEB,Domestic Common Stock,Finance Insurance And Real Estate,Commodity Contracts Brokers & Dealers,mid
148603,SEABRIGHT HOLDINGS INC,SBX,Domestic Common Stock,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,mid
148625,SEACHANGE INTERNATIONAL INC,SEAC,Domestic Common Stock,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,mid
148673,SEACOAST BANKING CORP OF FLORIDA,SBCF,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,mid
148722,SEACOAST FINANCIAL SERVICES CORP,SCFS,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,mid
148736,SEAGATE TECHNOLOGY INC,SEG,Domestic Common Stock,Manufacturing,Computer Storage Devices,mid
148741,SEAGRAM CO LTD,VO1,Domestic Common Stock,Manufacturing,Beverages,mid
148747,SEACOR HOLDINGS INC,CKH,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Deep Sea Foreign Transportation Of Freight,mid
148810,SEABRIDGE GOLD INC,SA,Canadian Common Stock,Mining,Gold And Silver Ores,mid
148833,SEAHAWK DRILLING INC,HAWKQ,Domestic Common Stock,Mining,Drilling Oil & Gas Wells,small
148909,SEALY CORP,ZZ,Domestic Common Stock,Manufacturing,Household Furniture,mid
148929,SEARS CANADA INC,SRSCQ,Canadian Common Stock,Retail Trade,Retail-Department Stores,small
148932,SEARS HOLDINGS CORP,SHLDQ,Domestic Common Stock Primary Class,Retail Trade,Retail-Department Stores,mid
148980,SEARS HOMETOWN & OUTLET STORES INC,SHOS,Domestic Common Stock,Retail Trade,Retail-Department Stores,mid
148993,SEARS ROEBUCK & CO,S1,Domestic Common Stock,Retail Trade,Retail-Department Stores,mid
149016,SEASPINE HOLDINGS CORP,SPNE,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,small
149034,SECOND BANCORP INC,SECD1,Domestic Common Stock,Finance Insurance And Real Estate,National Commercial Banks,small
149044,VIVANI MEDICAL INC,VANI,Domestic Common Stock Primary Class,Manufacturing,Electromedical & Electrotherapeutic Apparatus,small
149052,SECURE COMPUTING CORP,SCUR,Domestic Common Stock,Manufacturing,Computer Peripheral Equipment Nec,mid
149080,SECUREWORKS CORP,SCWX,Domestic Common Stock,Services,Services-Prepackaged Software,small
149086,SECURITY BANK CORP,SBKCQ,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,small
149106,SECURITY CAPITAL GROUP INC,SCZ.B,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate,mid
149110,SEEBEYOND TECHNOLOGY CORP,SBYN,Domestic Common Stock,Services,Services-Prepackaged Software,mid
149126,SEITEL INC,SELA,Domestic Common Stock,Mining,Oil & Gas Field Exploration Services,mid
149130,SELECT WATER SOLUTIONS INC,WTTR,Domestic Common Stock,Mining,Oil & Gas Field Services Nec,small
149132,SELECT INCOME REIT,SIR,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
149152,SELECT MEDICAL CORP,SEM2,Domestic Common Stock,Services,Services-Specialty Outpatient Facilities Nec,mid
149167,SELECT MEDICAL HOLDINGS CORP,SEM,Domestic Common Stock,Services,Services-Hospitals,mid
149191,CARTESIAN THERAPEUTICS INC,RNAC,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
149194,SELECTIVE INSURANCE GROUP INC,SIGI,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,mid
149258,SEMA GROUP PLC,SEMA,ADR Common Stock,Services,Services-Business Services Nec,small
149279,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORP,SMICY,ADR Common Stock,Manufacturing,Semiconductors & Related Devices,mid
149282,SEMILEDS CORP,LEDS,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,small
149283,SEMINIS INC,SMNS,Domestic Common Stock,Agriculture Forestry And Fishing,Agricultural Production-Crops,small
149429,SEMITOOL INC,SMTL,Domestic Common Stock,Manufacturing,Special Industry Machinery Nec,mid
149460,SENECA FOODS CORP,SENEA,Domestic Common Stock Primary Class,Manufacturing,Canned Fruits Veg Preserves Jams & Jellies,mid
149492,DIVERSIFIED HEALTHCARE TRUST,DHC,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
149578,SENORX INC,SENO,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,small
149582,SENSIENT TECHNOLOGIES CORP,SXT,Domestic Common Stock,Manufacturing,Industrial Organic Chemicals,mid
149647,SENSORMATIC ELECTRONICS CORP,SRM1,Domestic Common Stock,Manufacturing,Communications Equipment Nec,mid
149653,SENSEONICS HOLDINGS INC,SENS,Domestic Common Stock,Manufacturing,Industrial Instruments For Measurement Display And Control,small
149657,SEPRACOR INC,SEPR,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
149696,SEQUA CORP,SQA.A,Domestic Common Stock Primary Class,Manufacturing,Aircraft Engines & Engine Parts,mid
149724,SEQUENOM INC,SQNM,Domestic Common Stock,Manufacturing,Measuring & Controlling Devices Nec,mid
149761,SEQUENTIAL BRANDS GROUP INC,SQBGQ,Domestic Common Stock,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,small
149769,SEQUOIA SOFTWARE CORP,SQSW,Domestic Common Stock,Services,Services-Prepackaged Software,small
149770,SERENA SOFTWARE INC,SRNA1,Domestic Common Stock,Services,Services-Prepackaged Software,mid
149788,SERES THERAPEUTICS INC,MCRB,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
149795,SEROLOGICALS CORP,SERO,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
149813,MERCK SERONO SA,SRA,ADR Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
149820,SERITAGE GROWTH PROPERTIES,SRG,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate,mid
149890,SERVICEMASTER CO,SVM1,Domestic Common Stock,Services,Services-Management Services,mid
149941,KNOVA SOFTWARE INC,KNVS,Domestic Common Stock,Services,Services-Prepackaged Software,small
149965,SERVISFIRST BANCSHARES INC,SFBS,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,mid
149979,7 ELEVEN INC,SVELY,Domestic Common Stock,Retail Trade,Retail-Convenience Stores,mid
149994,SEVENTY SEVEN ENERGY INC,SSEIQ,Domestic Common Stock,Mining,Oil & Gas Field Services Nec,mid
150012,SHANDA INTERACTIVE ENTERTAINMENT LTD,SNDA1,ADR Common Stock,Services,Services-Business Services Nec,mid
150021,SHANDA GAMES LTD,GAME1,ADR Common Stock,Services,Services-Business Services Nec,mid
150022,SHARED MEDICAL SYSTEMS CORP,SMS1,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,small
150026,SHARPER IMAGE CORP,SHRPQ,Domestic Common Stock,Retail Trade,Retail-Miscellaneous Shopping Goods Stores,mid
150043,SHARPS COMPLIANCE CORP,SMED,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Hazardous Waste Management,mid
150048,SHAW GROUP INC,SHAW,Domestic Common Stock,Manufacturing,Miscellaneous Fabricated Metal Products,mid
150092,SHAW INDUSTRIES INC,SHX,Domestic Common Stock,Manufacturing,Carpets & Rugs,mid
150096,SHAW COMMUNICATIONS INC,SJR,Canadian Common Stock,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,mid
150123,SHENANDOAH TELECOMMUNICATIONS CO,SHEN,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),mid
150173,SHENGDATECH INC,SDTHQ,Domestic Common Stock,Manufacturing,Miscellaneous Chemical Products,small
150258,SHILOH INDUSTRIES INC,SHLOQ,Domestic Common Stock,Manufacturing,Metal Forgings & Stampings,mid
150277,SHINHAN FINANCIAL GROUP CO LTD,SHG,ADR Common Stock,Finance Insurance And Real Estate,National Commercial Banks,mid
150323,SHOE CARNIVAL INC,SCVL,Domestic Common Stock,Retail Trade,Retail-Shoe Stores,mid
150376,SHOPKO STORES INC,SKO,Domestic Common Stock,Retail Trade,Retail-Variety Stores,mid
150397,SUMMIT AMERICA TELEVISION INC,SATH,Domestic Common Stock,Retail Trade,Retail-Catalog & Mail-Order Houses,small
150398,SHORE BANCSHARES INC,SHBI,Domestic Common Stock,Finance Insurance And Real Estate,National Commercial Banks,mid
150420,SHORETEL INC,SHOR,Domestic Common Stock,Manufacturing,Telephone & Telegraph Apparatus,mid
150450,SHURGARD STORAGE CENTERS INC,SHU,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
150529,SIDERCA SAIC,SDTA,ADR Common Stock,Manufacturing,Steel Pipe & Tubes,small
150532,SIEBEL SYSTEMS INC,SEBL,Domestic Common Stock,Services,Services-Prepackaged Software,mid
150558,SIEBERT FINANCIAL CORP,SIEB,Domestic Common Stock,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,small
150559,SIEMENS AKTIENGESELLSCHAFT,SIEGY,ADR Common Stock,Manufacturing,Electronic & Other Electrical Equipment (No Computer Equip),mid
150584,SIERRA BANCORP,BSRR,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,mid
150626,SIENTRA INC,SIEN,Domestic Common Stock,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,small
150633,SIENNA BIOPHARMACEUTICALS INC,SNNAQ,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
150634,SIERRA HEALTH SERVICES INC,SIE,Domestic Common Stock,Finance Insurance And Real Estate,Hospital & Medical Service Plans,mid
150661,SIERRA WIRELESS INC,SWIR,Canadian Common Stock,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,mid
150678,SIFCO INDUSTRIES INC,SIF,Domestic Common Stock,Manufacturing,Aircraft Engines & Engine Parts,mid
150685,SIGMA ALDRICH CORP,SIAL,Domestic Common Stock,Wholesale Trade,Wholesale-Chemicals & Allied Products,large
150748,SIFY TECHNOLOGIES LTD,SIFY,ADR Common Stock,Services,Services-Computer Programming Data Processing Etc.,mid
150750,SIGMA DESIGNS INC,SIGM,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
150798,SIGMATEL INC,SGTL,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
150809,SIGNAL TECHNOLOGY CORP,STCO1,Domestic Common Stock,Manufacturing,Instruments For Meas & Testing Of Electricity & Elec Signals,small
150810,SIGNALSOFT CORP,SGSF,Domestic Common Stock,Services,Services-Prepackaged Software,small
150866,SIGA TECHNOLOGIES INC,SIGA,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
150880,SILICON LABORATORIES INC,SLAB,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
151007,SILICON GRAPHICS INC,SGICQ,Domestic Common Stock,Manufacturing,Electronic Computers,mid
151029,SILICON STORAGE TECHNOLOGY INC,SSTI1,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
151062,SILICON IMAGE INC,SIMG,Domestic Common Stock,Manufacturing,Electronic Components & Accessories,mid
151108,SILICON VALLEY GROUP INC,SVGI,Domestic Common Stock,Manufacturing,Special Industry Machinery Nec,small
151111,SILICON MOTION TECHNOLOGY CORP,SIMO,ADR Common Stock,Manufacturing,Semiconductors & Related Devices,mid
151148,SILICONIX INC,SILI,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
151163,SILICONWARE PRECISION INDUSTRIES CO LTD,SPIL,ADR Common Stock Primary Class,Manufacturing,Semiconductors & Related Devices,mid
151183,SILKNET SOFTWARE INC,SILK1,Domestic Common Stock,Services,Services-Prepackaged Software,small
151201,SILVER BULL RESOURCES INC,SVBL,Domestic Common Stock,Mining,Metal Mining,small
151202,SILVERSTREAM SOFTWARE INC,SSSW,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,small
151206,SILVER SPRING NETWORKS INC,SSNI,Domestic Common Stock,Manufacturing,Computer Communications Equipment,mid
151221,SILVER STATE BANCORP,SSBXQ,Domestic Common Stock,Finance Insurance And Real Estate,State Commercial Banks,small
151222,SILVERCREST ASSET MANAGEMENT GROUP INC,SAMG,Domestic Common Stock,Finance Insurance And Real Estate,Investment Advice,mid
151233,SILVERCORP METALS INC,SVM,Canadian Common Stock,Mining,Gold And Silver Ores,mid
151255,SILVERBOW RESOURCES INC,SBOW,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,small
151257,SILVERLINE TECHNOLOGIES LTD,SVRTY,ADR Common Stock,Services,Services-Computer Programming Services,small
151258,SIMCERE PHARMACEUTICAL GROUP,SCR1,ADR Common Stock,Manufacturing,Pharmaceutical Preparations,small
151265,SIMMONS FIRST NATIONAL CORP,SFNC,Domestic Common Stock,Finance Insurance And Real Estate,National Commercial Banks,mid
151396,SIMPLEX SOLUTIONS INC,SPLX1,Domestic Common Stock,Services,Services-Computer Programming Services,small
151399,SIMPLICITY BANCORP INC,SMPL1,Domestic Common Stock,Finance Insurance And Real Estate,Savings Institution Federally Chartered,small
